N;Grupo;Animal;Dosagem;PA_mmHg;Desvio_PA;Ptr_cmH2O;Desvio_Ptr;Perturbacao
145;SHR 17 Semanas Tratados;2;100 ug/kg;3,720,019,696;729,569,018;3,308,100,522;0.852139409;10
146;SHR 17 Semanas Tratados;2;100 ug/kg;3,619,293,783;4,770,679,896;3,277,878,721;0.834337365;11
147;SHR 17 Semanas Tratados;2;100 ug/kg;3,678,940,539;5,190,879,884;3,282,112,272;0.824392948;12
148;SHR 17 Semanas Tratados;2;100 ug/kg;3,872,839,971;7,377,066,057;3,311,397,911;0.810662812;13
149;SHR 17 Semanas Tratados;2;100 ug/kg;3,767,257,098;5,588,082,582;3,228,717,232;0.810665413;14
150;SHR 17 Semanas Tratados;2;100 ug/kg;3,880,085,872;5,171,973,929;325,196,436;0.801335777;15
151;SHR 17 Semanas Tratados;3;PBS;829,718;109,754,991;3,525,152,611;0.656206272;1
152;SHR 17 Semanas Tratados;3;PBS;861,921;1,061,983,386;3,495,208,486;0.660169673;2
153;SHR 17 Semanas Tratados;3;PBS;8,532,545,455;1,025,705,584;3,541,473,368;0.65704437;3
154;SHR 17 Semanas Tratados;3;PBS;863,795;1,013,411,663;3,572,604,047;0.658308879;4
155;SHR 17 Semanas Tratados;3;PBS;869,285;1,028,648,553;3,543,382,376;0.659121275;5
156;SHR 17 Semanas Tratados;3;PBS;8,821,535,354;10,387,354;3,567,654,047;0.666079277;6
157;SHR 17 Semanas Tratados;3;PBS;882,422;1,052,299,028;358,297,611;0.667757265;7
158;SHR 17 Semanas Tratados;3;PBS;892,171;10,316,533;3,574,800,914;0.667382935;8
159;SHR 17 Semanas Tratados;3;PBS;898,331;9,951,068,842;3,531,701,697;0.663570211;9
160;SHR 17 Semanas Tratados;3;PBS;9,026,080,808;1,004,144,713;3,569,322,324;0.663677623;10
161;SHR 17 Semanas Tratados;3;PBS;905,978;1,013,502,414;3,501,912,141;0.676517342;11
162;SHR 17 Semanas Tratados;3;PBS;917,996;1,007,515,375;3,495,388,512;0.673429714;12
163;SHR 17 Semanas Tratados;3;PBS;9,124,406,316;9,403,683,288;3,537,369,582;0.66923335;13
164;SHR 17 Semanas Tratados;3;PBS;914,564,027;9,246,346,863;3,582,330,157;0.667589674;14
165;SHR 17 Semanas Tratados;3;PBS;9,267,172,249;9,879,808,748;3,537,515,666;0.670018534;15
166;SHR 17 Semanas Tratados;3;3 ug/kg;6,818,450,426;1,101,190,319;3,553,486,815;0.677814604;1
167;SHR 17 Semanas Tratados;3;3 ug/kg;7,550,085,532;1,026,532,199;3,587,183,943;0.671935074;2
168;SHR 17 Semanas Tratados;3;3 ug/kg;771,197;1,079,343,651;3,574,827,154;0.674616896;3
169;SHR 17 Semanas Tratados;3;3 ug/kg;7,838,267,619;8,936,910,478;354,170,248;0.672803126;4
170;SHR 17 Semanas Tratados;3;3 ug/kg;81,312;1,016,534,567;3,578,653,003;0.68345975;5
171;SHR 17 Semanas Tratados;3;3 ug/kg;838,812;1,041,906,618;355,957,611;0.676805251;6
172;SHR 17 Semanas Tratados;3;3 ug/kg;8,357,700,483;9,052,179,108;359,240,705;0.680457479;7
173;SHR 17 Semanas Tratados;3;3 ug/kg;861,821;1,042,724,871;3,588,072,846;0.681177749;8
174;SHR 17 Semanas Tratados;3;3 ug/kg;8,698,445,567;9,404,171,248;3,591,870,627;0.682006404;9
175;SHR 17 Semanas Tratados;3;3 ug/kg;8,807,219,467;918,172,268;3,550,150,392;0.679925218;10
176;SHR 17 Semanas Tratados;3;3 ug/kg;909,281;1,008,554,077;3,534,175,979;0.682994178;11
177;SHR 17 Semanas Tratados;3;3 ug/kg;930,423;1,038,540,281;3,597,106,266;0.687064526;12
178;SHR 17 Semanas Tratados;3;3 ug/kg;93,798;9,810,679,195;3,509,644,778;0.686407211;13
179;SHR 17 Semanas Tratados;3;3 ug/kg;952,572;1,029,030,642;3,562,700,261;0.682220571;14
180;SHR 17 Semanas Tratados;3;3 ug/kg;964,991,074;102,318,388;3,618,410,313;0.685128644;15
181;SHR 17 Semanas Tratados;3;10 ug/kg;557,414;1,426,821,593;3,677,795,953;0.793869324;1
182;SHR 17 Semanas Tratados;3;10 ug/kg;589,434,125;1,305,058,541;3,680,753,264;0.760272104;2
183;SHR 17 Semanas Tratados;3;10 ug/kg;6,227,911,489;1,084,199,065;3,580,253,003;0.723678351;3
184;SHR 17 Semanas Tratados;3;10 ug/kg;660,362,703;1,130,948,507;3,629,279,243;0.711966193;4
185;SHR 17 Semanas Tratados;3;10 ug/kg;660,119;115,520,997;3,562,420,888;0.705734813;5
186;SHR 17 Semanas Tratados;3;10 ug/kg;6,754,864,773;1,113,498,819;3,512,110,966;0.708539176;6
187;SHR 17 Semanas Tratados;3;10 ug/kg;6,915,384,884;1,050,967,737;3,486,505,222;0.710477303;7
188;SHR 17 Semanas Tratados;3;10 ug/kg;7,085,144,651;1,020,231,493;3,607,395,039;0.700005919;8
189;SHR 17 Semanas Tratados;3;10 ug/kg;728,988;1,003,073,512;3,605,172,977;0.696231371;9
190;SHR 17 Semanas Tratados;3;10 ug/kg;739,866;1,066,634,244;358,366,423;0.693378846;10
191;SHR 17 Semanas Tratados;3;10 ug/kg;75,154;1,086,394,928;3,539,770,888;0.70196696;11
192;SHR 17 Semanas Tratados;3;10 ug/kg;766,055;1,103,699,311;3,601,895,431;0.698732071;12
193;SHR 17 Semanas Tratados;3;10 ug/kg;7,731,929,293;1,080,605,294;3,608,605,222;0.696619626;13
