Time(s), Pressure(mmHg), Action Number
19.28,83.20,0
19.30,79.53,0
19.32,76.79,0
19.34,76.17,0
19.36,88.09,0
19.38,105.08,0
19.40,104.56,0
19.42,94.34,0
19.44,89.72,0
19.46,88.58,0
19.48,86.26,0
19.50,84.39,0
19.52,80.45,0
19.54,77.36,0
19.56,76.07,0
19.58,91.08,0
19.60,106.49,0
19.62,103.93,0
19.64,93.88,0
19.66,91.27,0
19.68,89.65,0
19.70,87.95,0
19.72,84.56,0
19.74,80.66,0
19.76,77.64,0
19.78,77.96,0
19.80,94.80,0
19.82,102.54,0
19.84,104.41,0
19.86,94.84,0
19.88,89.60,0
19.90,88.42,0
19.92,86.52,0
19.94,83.08,0
19.96,79.43,0
19.98,77.97,0
20.00,76.36,0
20.02,89.66,0
20.04,105.61,0
20.06,103.83,0
20.08,93.73,0
20.10,89.64,0
20.12,88.47,0
20.14,87.49,0
20.16,84.15,0
20.18,80.16,0
20.20,77.18,0
20.22,76.62,0
20.24,93.20,0
20.26,107.03,0
20.28,102.95,0
20.30,97.51,0
20.32,90.99,0
20.34,89.58,0
20.36,87.72,0
20.38,84.18,0
20.40,80.34,0
20.42,77.42,0
20.44,78.94,0
20.46,86.92,0
20.48,103.57,0
20.50,103.62,0
20.52,93.88,0
20.54,89.38,0
20.56,88.28,0
20.58,86.19,0
20.60,82.64,0
20.62,80.78,0
20.64,77.67,0
20.66,76.71,0
20.68,91.98,0
20.70,106.21,0
20.72,102.55,0
20.74,92.79,0
20.76,89.41,0
20.78,88.87,0
20.80,87.11,0
20.82,83.65,0
20.84,79.66,0
20.86,76.80,0
20.88,77.64,0
20.90,95.89,0
20.92,103.99,0
20.94,106.02,0
20.96,96.08,0
20.98,90.56,0
21.00,89.34,0
21.02,87.27,0
21.04,83.58,0
21.06,79.82,0
21.08,77.05,0
21.10,76.72,0
21.12,89.84,0
21.14,104.64,0
21.16,102.16,0
21.18,92.53,0
21.20,89.00,0
21.22,87.92,0
21.24,85.58,0
21.26,83.83,0
21.28,80.11,0
21.30,77.17,0
21.32,77.69,0
21.34,95.26,0
21.36,106.53,0
21.38,100.47,0
21.40,91.54,0
21.42,89.76,0
21.44,88.51,0
21.46,86.47,0
21.48,82.88,0
21.50,78.95,0
21.52,76.25,0
21.54,79.94,0
21.56,99.42,0
21.58,105.76,0
21.60,104.27,0
21.62,94.21,0
21.64,90.05,0
21.66,88.92,0
21.68,86.52,0
21.70,82.69,0
21.72,79.07,0
21.74,77.67,0
21.76,77.57,0
21.78,93.91,0
21.80,105.44,0
21.82,99.92,0
21.84,91.05,0
21.86,88.60,0
21.88,87.46,0
21.90,86.32,0
21.92,82.93,0
21.94,79.29,0
21.96,76.56,0
21.98,80.23,0
22.00,99.30,0
22.02,106.25,0
22.04,97.74,0
22.06,93.07,0
22.08,89.25,0
22.10,88.06,0
22.12,85.67,0
22.14,81.89,0
22.16,78.12,0
22.18,75.74,0
22.20,83.97,0
22.22,94.44,0
22.24,106.95,0
22.26,101.78,0
22.28,92.20,0
22.34,85.61,0
22.36,81.67,0
22.38,79.84,0
22.40,77.00,0
22.42,80.18,0
22.44,98.46,0
22.46,105.40,0
22.48,97.16,0
22.50,89.88,0
22.52,88.77,0
22.54,87.81,0
22.56,85.56,0
22.58,81.95,0
22.60,78.50,0
22.62,76.13,0
22.64,84.67,0
22.66,102.93,0
22.68,106.31,0
22.70,100.34,0
22.72,91.38,0
22.74,88.97,0
22.76,87.65,0
22.78,84.79,0
22.80,80.91,0
22.82,77.43,0
22.84,76.13,0
22.86,80.02,0
22.88,99.70,0
22.90,107.08,0
22.92,98.75,0
22.94,91.17,0
22.96,89.42,0
22.98,87.86,0
23.00,86.44,0
23.02,82.65,0
23.04,79.01,0
